model,alpha,alpha_t,alpha_p,r_squared,r_squared_adj,n_obs,beta_mkt_rf,t_mkt_rf,beta_smb,t_smb,beta_hml,t_hml,beta_umd,t_umd,beta_q_mkt,t_q_mkt,beta_q_me,t_q_me,beta_q_ia,t_q_ia,beta_q_roe,t_q_roe,beta_rmw,t_rmw,beta_cma,t_cma
CAPM (23),0.010820526869819273,4.5916783980622995,4.396955608973826e-06,0.2948145521844189,0.2919938103931565,252,-0.43381879630619036,-5.208267323101285,,,,,,,,,,,,,,,,,,
FF3 (24),0.010928515266235513,5.162340458928939,2.4388120690721323e-07,0.3283999798301446,0.3202757860377672,252,-0.4040255019349189,-4.794284814776916,-0.1520558193613172,-2.0745827749506724,0.122864412475787,0.965268420232695,,,,,,,,,,,,,,
Carhart (25),0.009814056869804869,4.734110286043529,2.200180751765635e-06,0.4480808433883744,0.43914288133798374,252,-0.2734408972109384,-3.607570688803853,-0.20307686932000166,-3.0908841742634534,0.2101048735641318,2.0340131300701505,0.26657378672797993,5.452892288846728,,,,,,,,,,,,
q-fac (26),0.008326061908956187,4.082254153179681,4.4600982672900964e-05,0.4086001228674011,0.399022796921934,252,,,,,,,,,-0.2523354281349236,-3.2703058204171858,0.005766259388129821,0.07028379890026054,0.28100969992954694,1.9737628180701978,0.4080109019914101,5.265851960751639,,,,
FF5 (27),0.00787157597686578,3.4758521350398675,0.0005092329708476145,0.3928749351790344,0.3805349948371448,252,-0.29742185341550337,-3.5708517004738995,-0.009964503507157926,-0.09213856475128973,-0.1262188934307009,-1.416843078029123,,,,,,,,,,,0.3705693445648931,3.182319663449584,0.3965158554880077,2.0730138651637944
