month,decile,return,excess_return,mean_beta,median_beta,n_stocks
2000-01,1,0.02538308571428552,0.021525942857142658,0.464341949579832,0.467642,119
2000-01,2,0.005330111864406583,0.0013979084745760725,0.5443321186440679,0.545703,118
2000-01,3,0.004060628813559117,0.0001589338983048814,0.6049560847457627,0.6034615,118
2000-01,4,-0.013065322033898305,-0.017028033898305088,0.6640767796610171,0.6652525,118
2000-01,5,-0.03906645508474576,-0.0430410313559322,0.7267019661016948,0.7288975,118
2000-01,6,-0.02200687457627138,-0.02597975593220359,0.7941743898305084,0.7957145,118
2000-01,7,-0.03541744661016949,-0.039392022881355945,0.8581069830508474,0.8586095,118
2000-01,8,-0.02068036440677967,-0.024680364406779665,0.9388546610169493,0.932369,118
2000-01,9,-0.007701114406779861,-0.011699419491525623,1.056693813559322,1.0560585,118
2000-01,10,0.03209912288135574,0.02809912288135572,1.3005958813559324,1.2394505,118
2000-02,1,0.023408438166666146,0.01955677149999948,0.45998126666666667,0.464709,120
2000-02,2,-0.0002856583333333329,-0.004192325,0.5450700666666667,0.5478529999999999,120
2000-02,3,0.00951904824999975,0.005634048249999751,0.6069288583333333,0.606026,120
2000-02,4,0.0020991749999999996,-0.0018391583333333332,0.6673460333333333,0.6674435000000001,120
2000-02,5,-0.023598941666666665,-0.02757560833333333,0.7339217833333334,0.7363595000000001,120
2000-02,6,-0.033556825833333324,-0.037550159166666666,0.7984059250000001,0.8005355000000001,120
2000-02,7,0.0052472649166664135,0.0012472649166664102,0.8666142583333333,0.870085,120
2000-02,8,0.03481905666666666,0.03081905666666666,0.9514566499999998,0.954399,120
2000-02,9,0.07526190483333281,0.07126190483333282,1.0746841500000002,1.0770895,120
2000-02,10,0.1946410808333333,0.19064108083333334,1.3238577416666668,1.2698550000000002,120
2000-03,1,0.016481186341463394,0.012064926178861764,0.46303643089430896,0.465509,123
2000-03,2,0.023769642276422767,0.019320861788617888,0.5445432276422764,0.542851,123
2000-03,3,0.013272056910569105,0.008741975609756102,0.6043827479674796,0.602677,123
2000-03,4,0.01855108260162601,0.014053521626016256,0.665479219512195,0.666907,123
2000-03,5,0.049428593495934973,0.0448968861788618,0.731002024390244,0.733872,123
2000-03,6,0.10809058950819671,0.1034905895081967,0.7931924672131149,0.7921265,122
2000-03,7,0.07626138146341462,0.07166138146341461,0.8641980081300813,0.863793,123
2000-03,8,0.07636241121951219,0.07176241121951218,0.9530585528455284,0.951611,123
2000-03,9,0.078178190406504,0.07359932861788614,1.075487739837398,1.0775,123
2000-03,10,0.01240745999999995,0.007807459999999956,1.3202913414634145,1.269006,123
2000-04,1,0.030049519262295078,0.02640361762295082,0.4547325081967213,0.4580045,122
2000-04,2,0.0419938606557377,0.03827910655737705,0.5273321803278688,0.5284694999999999,122
2000-04,3,0.015983192975206607,0.01225096157024793,0.5806982396694215,0.579099,121
2000-04,4,0.0003806397540983611,-0.0033455897540983605,0.6338826475409837,0.632174,122
2000-04,5,0.00013427272727272905,-0.0036012644628099152,0.6916283223140497,0.68892,121
2000-04,6,0.012377631147540981,0.008584188524590164,0.7448233196721312,0.744548,122
2000-04,7,-0.002056495454545452,-0.005856495454545456,0.8187576694214875,0.82344,121
2000-04,8,-0.023228387295081976,-0.0270218299180328,0.9043181147540983,0.902835,122
2000-04,9,-0.04565028801652892,-0.04941888305785124,1.0271935785123967,1.032458,121
2000-04,10,-0.027288318852459026,-0.031088318852459024,1.3052434098360655,1.2564615,122
2000-05,1,0.009374377049180328,0.005197327868852459,0.451462737704918,0.456053,122
2000-05,2,-0.00937782786885246,-0.013661434426229505,0.5205727049180328,0.5211815,122
2000-05,3,-0.005176561983471078,-0.009472429752066117,0.5748444628099172,0.575169,121
2000-05,4,-0.009302727049180323,-0.013542071311475414,0.6249527704918033,0.6235515,122
2000-05,5,0.006621048140495865,0.0022722878099173554,0.6820431074380167,0.68453,121
2000-05,6,-0.009947622950819673,-0.014293524590163937,0.7329947459016394,0.7333755,122
2000-05,7,-0.016729121694214876,-0.02112581590909091,0.7976997438016529,0.799626,121
2000-05,8,-0.013935915778688527,-0.01833263709016393,0.8864740327868852,0.8831800000000001,122
2000-05,9,-0.02388536838842975,-0.028285368388429755,1.0112707272727273,1.01064,121
2000-05,10,-0.10869456659836065,-0.11309456659836067,1.3151915983606557,1.2653729999999999,122
2000-06,1,0.014578141829268292,0.010405784105691058,0.4507101544715447,0.455788,123
2000-06,2,0.020413764227642274,0.016220268292682926,0.5196107154471545,0.520506,123
2000-06,3,0.00021332520325203217,-0.004079357723577236,0.574734081300813,0.571262,123
2000-06,4,-0.009053479959016392,-0.013310857008196722,0.6271316311475411,0.6255835,122
2000-06,5,0.004737382113821141,0.00035364227642276026,0.682278593495935,0.683129,123
2000-06,6,-0.025501869918699186,-0.029843333333333333,0.731539325203252,0.731167,123
2000-06,7,-0.0014435081967213114,-0.005841868852459017,0.7963730819672131,0.7968215,122
2000-06,8,-0.0003165245121951197,-0.00471652451219512,0.8866640325203252,0.889129,123
2000-06,9,0.03192629601626016,0.02753117406504065,1.015424512195122,1.011815,123
2000-06,10,0.08424473959349593,0.07984473959349593,1.3326020243902439,1.291068,123
2000-07,1,0.020525291440000027,0.016762091440000026,0.4489543919999999,0.454062,125
2000-07,2,0.021084943548387095,0.017252685483870964,0.516665629032258,0.5175034999999999,124
2000-07,3,0.020644853709677474,0.01679807951612908,0.5733671129032257,0.571809,124
