month,bab_return,ret_L_excess,ret_H_excess,ret_L_raw,ret_H_raw,beta_L,beta_H,n_low,n_high,n_total,rf,median_beta
2000-01,0.011399525682558066,0.005229530346152556,-0.002000503092718601,0.009133474824055562,0.001995047109466716,0.5465695384037397,1.09220918774843,590,591,1181,0.0040999999999999,0.755121
2000-02,-0.07283578992522567,0.007446517093249749,0.09592914931719428,0.011334689871027526,0.09992902153941649,0.5465604897472223,1.1095191201416668,600,600,1200,0.0043,0.766035
2000-03,-0.0180900109681429,0.014290093658748436,0.04902771512968403,0.01874915989110457,0.05362109136442357,0.5466062230449406,1.1083888497709278,614,615,1229,0.0046999999999999,0.762509
2000-04,0.07112335140380362,0.02176920241881817,-0.03214837105844768,0.025461871978201826,-0.02835925607835765,0.5289201477909669,1.0728451650147162,608,608,1216,0.0046,0.719668
2000-05,0.044293693874613245,-0.00496712284757239,-0.05731847552466564,-0.000726531932579317,-0.0529223282125119,0.5233106870347126,1.0656879360256881,608,608,1216,0.005,0.707015
2000-06,-0.021507573580317685,0.005805652722469205,0.03499195916247122,0.010024112334772784,0.03938949547585386,0.5230883288284226,1.0731631691715564,614,614,1228,0.004,0.7091514999999999
2000-07,0.06155471199215602,0.01447688840396607,-0.03632338018762728,0.01829936749330551,-0.03233251005601161,0.5210663503504928,1.0755626106223055,622,622,1244,0.0048,0.7042465
2000-08,-0.05742345130290443,0.023346257399394773,0.11106907183026446,0.02775571697449182,0.1156551308851886,0.5228327582777764,1.088092710788013,621,621,1242,0.005,0.707944
2000-09,0.08436224859442233,0.01503523768173911,-0.06043226549796645,0.02077717423342478,-0.05443764053853605,0.5214123120993753,1.0883471041167998,628,628,1256,0.0051,0.7113745
2000-10,-0.02259880332832978,-0.017428430050441455,-0.011963136884076216,-0.01111859816319834,-0.005377656545561377,0.5194820489126979,1.0924415349490881,627,627,1254,0.0056,0.7022124999999999
2000-11,0.1275663923984558,0.0034807921790510885,-0.13233707186093246,0.007489548808945321,-0.1281418303932057,0.5151124367639913,1.0954235145185636,622,622,1244,0.0051,0.6934675
2000-12,0.060860953037708054,0.04491559420112366,0.0297257454059885,0.05070880459176416,0.03572392426777712,0.5076525179377355,1.076392215419393,615,615,1230,0.005,0.6809080000000001
2001-01,-0.09850014050666502,0.028647837141868443,0.16825211506499635,0.0347254144252643,0.1745400982742884,0.507393390534414,1.0857711218329356,631,632,1263,0.0054,0.682521
2001-02,0.12718837309500228,0.010885245158464545,-0.11360891094140343,0.01454237125875679,-0.10981065244166924,0.5054695769761586,1.075297625425205,633,633,1266,0.0038,0.6752025
2001-03,0.0749080471694705,0.0027283153183169533,-0.07374915218738978,0.006968802110959938,-0.06935122316244648,0.5027658851877048,1.0614224053539936,630,630,1260,0.0042,0.6693725
2001-04,-0.09444049147447423,0.03314993461500761,0.1732490886655007,0.037018132129163384,0.1772456967519579,0.5004077401183213,1.0781818184129606,634,634,1268,0.0039,0.6664105
2001-05,0.05731819070415225,0.04048487148539508,0.025860475555103353,0.04261707227705023,0.028052684389277275,0.5014958448617509,1.1046746295160437,642,643,1285,0.0032,0.67285
2001-06,0.03226388447484663,0.014690442372231115,-0.0033209390550805553,0.01671709028412522,-0.0012235761454389394,0.502530599519309,1.0956747275853314,646,646,1292,0.0028,0.6714614999999999
2001-07,0.033741348476062,0.008613100092163928,-0.01785625632465991,0.010634992238940332,-0.0157615923062176,0.5001569467259184,1.080850954241922,648,648,1296,0.003,0.6639085
2001-08,0.07788697312053497,0.011883253183686283,-0.05777903682642611,0.014098959000217771,-0.05548254013582795,0.4964040460953229,1.07100751356542,657,657,1314,0.0031,0.658256
2001-09,0.0891024554552194,-0.03629419763961292,-0.1727041790012327,-0.03337502492658269,-0.16971375538254171,0.5002173609822538,1.0683218950703828,652,652,1304,0.0028,0.6716504999999999
2001-10,-0.06751332433217197,0.01982305608424783,0.11463930770914306,0.022039928512231365,0.11693242208766765,0.5044694100294354,1.0733194818506133,648,648,1296,0.0022,0.676721
2001-11,-0.05382995552282699,0.01623684721575525,0.09341528797109774,0.018266762463591817,0.09551059970937537,0.5051478475490994,1.0865689753868548,661,661,1322,0.0017,0.682024
2001-12,-0.0026961577418163213,0.031014799079941435,0.0697802489845817,0.032937131366272625,0.07177425196484505,0.5090221444298183,1.0967199573943982,678,679,1357,0.0015,0.691068
2002-01,0.052528793959834584,0.01995201445837967,-0.014637193243367404,0.02198829393953707,-0.012542668913496167,0.5092676582482837,1.096341857313989,682,683,1365,0.0014,0.689091
